#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
-0.833333,8,17.662631
1.095238,5,17.674554
-0.928571,4,17.689872
1.166667,8,17.712837
1.095238,5,17.724844
-0.880952,6,17.740001
-9.809524,9,17.768737
1.214286,10,17.79842
1.142857,7,17.814011
-9.809524,9,17.838205
1.190476,9,17.864657
1.095238,5,17.877651
-0.833333,8,17.896794
1.071429,4,17.907299
1.142857,7,17.923508
1.190476,9,17.946152
1.071429,4,17.956768
1.142857,7,17.972401
1.119048,6,17.991132
1.119048,6,18.008942
1.095238,5,18.024727
-0.785714,10,18.047415
1.095238,5,18.059086
1.119048,6,18.074317
-9.738095,12,18.098684
1.166667,8,18.117276
1.166667,8,18.13618
-0.857143,7,18.15158
1.095238,5,18.164042
1.095238,5,18.175868
1.095238,5,18.187661
-9.761905,11,18.212673
-0.857143,7,18.234914
1.119048,6,18.24935
-0.880952,6,18.263237
-0.833333,8,18.282709
-9.809524,9,18.303557
-0.761905,11,18.33469
1.095238,5,18.346163
-0.785714,10,18.372997
-9.738095,12,18.397374
1.142857,7,18.411831
1.119048,6,18.429873
-9.714286,13,18.455826
-0.785714,10,18.480585
1.095238,5,18.492306
1.119048,6,18.506037
1.142857,7,18.523058
-0.833333,8,18.539995
1.142857,7,18.559862
1.095238,5,18.571609
1.261905,12,18.596606
-9.761905,11,18.621892
-9.809524,9,18.646358
1.142857,7,18.664807
1.142857,7,18.679506
-0.761905,11,18.703858
-0.714286,13,18.733776
1.095238,5,18.745852
1.190476,9,18.770024
-0.809524,9,18.790179
1.142857,7,18.810999
1.095238,5,18.822892
1.095238,5,18.834733
1.190476,9,18.855546
-0.904762,5,18.869186
1.166667,8,18.88564
1.166667,8,18.906784
1.095238,5,18.9193
-0.809524,9,18.940304
1.142857,7,18.954957
1.095238,5,18.967108
1.142857,7,18.981858
1.095238,5,18.99412
-9.857143,7,19.014454
1.095238,5,19.029154
1.071429,4,19.044298
1.142857,7,19.05898
-0.833333,8,19.082942
1.142857,7,19.097988
-0.904762,5,19.111692
-0.833333,8,19.138091
1.190476,9,19.15625
-9.785714,10,19.184285
-0.785714,10,19.208007
1.142857,7,19.230458
1.095238,5,19.242744
-0.928571,4,19.254071
1.190476,9,19.272212
1.071429,4,19.282889
-9.785714,10,19.305556
1.166667,8,19.324801
-9.785714,10,19.3468
-9.714286,13,19.378262
-0.785714,10,19.404046
1.119048,6,19.420134
1.119048,6,19.433534
1.095238,5,19.445963
1.261905,12,19.475333
1.142857,7,19.492496
1.190476,9,19.510145
1.119048,6,19.52583
-0.857143,7,19.542039
1.166667,8,19.560659
1.142857,7,19.57549
1.166667,8,19.594417
-9.738095,12,19.62434
1.142857,7,19.639167
-9.738095,12,19.665823
-0.880952,6,19.67981
-0.880952,6,19.693465
1.095238,5,19.705032
1.095238,5,19.716739
1.190476,9,19.736993
1.261905,12,19.761462
1.190476,9,19.788874
